,principal component 1,principal component 2,principal component 3,principal component 4,LA,minisom_cluster,,cluster info
206,1.409710683,-0.910241089,-1.246736492,0.357832961,Stockport,5,,
207,0.51742797,-0.664059192,1.102094705,-0.263924751,Stroud,5,,
208,2.526717191,-0.703874675,1.102000302,-0.308800015,Tewkesbury,5,,
209,-2.467053681,-0.084573263,0.889705955,-0.470480212,Torbay,5,,
210,1.163063449,-0.085773637,0.488544231,1.309668157,Uttlesford,5,,
211,3.671260469,-0.705767769,1.793002584,-0.619796551,Vale of White Horse,5,,
212,3.056317134,-1.368222911,0.36805108,-1.015629874,Wandsworth,5,,
213,-1.836343963,-1.280605165,0.395166637,-0.113879801,West Devon,5,,
214,-0.40531153,-1.852739165,-0.05338764,0.023658794,Westminster,5,,
215,0.57170328,1.188317452,-0.815205689,0.321005181,Windsor and Maidenhead,5,,
216,-1.268470885,-1.879346813,-0.096898817,0.597877819,Worthing,5,,
217,-1.856466159,1.004360197,0.031700808,-0.097602686,Wyre,5,,
218,1.34906264,0.475246791,0.1058736,-0.834011063,Bath and North East Somerset,6,,seemingly matches cluster 9 in kmeans grouping
219,2.30266374,5.207190437,2.637985979,0.853339624,Canterbury,6,,
220,0.519545739,-1.316930033,-1.411527534,0.807641708,Ceredigion,6,,
221,-1.398336404,-0.027926554,0.067388706,-0.763194721,Cheltenham,6,,
222,-0.586340812,-0.665750294,0.341245861,-0.426723067,Greenwich,6,,
223,-2.569136798,1.813828732,1.082693113,-0.590505437,Isle of Wight,6,,
224,-0.89998247,-1.63946473,-0.155963187,0.219987931,Islington,6,,
225,0.253214309,0.439191277,-1.215789621,0.539754659,Newcastle upon Tyne,6,,
226,2.49911616,1.705941947,-0.82196227,0.91214046,Nuneaton and Bedworth,6,,
227,-0.190638145,1.830153903,-1.185160812,0.038532121,Rushmoor,6,,
228,2.08632698,-0.1915785,1.477469497,-1.077815996,Watford,6,,
229,-0.085700737,4.093075025,3.305337073,0.866618976,Wiltshire,6,,
230,-2.048633601,1.169417903,0.263217532,-0.21048454,"Bristol, City of",7,,similar to cluster 6 in kmeans
231,2.58921164,1.003257182,-2.307851392,1.021533976,Camden,7,,
232,1.201392512,-1.956479473,0.001176493,-0.119119235,Erewash,7,,
233,-2.24245259,0.127553997,0.852358831,-0.033163416,Great Yarmouth,7,,
234,-1.290088811,-0.075837128,-0.10169428,-0.163232833,Hambleton,7,,
235,-1.935871559,-0.694272181,0.205661836,0.206532394,Isles of Scilly,7,,
236,-0.576319385,0.662521469,-1.379440936,-0.143266308,Knowsley,7,,
237,-0.37760159,0.335927793,0.067937747,-0.78685817,Lichfield,7,,
238,0.945570678,-1.440358537,0.270988976,0.929143273,Malvern Hills,7,,
239,-1.676740715,1.106317074,-0.554558921,0.617647695,Norwich,7,,
240,2.544333678,-2.276903651,-0.14315324,-0.344750307,Rugby,7,,
241,-0.550847101,-0.352204425,-0.217466547,-0.45904181,Southend-on-Sea,7,,
242,-2.096569792,0.400129544,1.390967351,3.273299993,Torridge,7,,
243,0.17457598,0.622946729,-0.301311705,-0.620035014,Waltham Forest,7,,
244,0.276135053,1.678655629,-2.345011858,0.388047299,West Suffolk,7,,
245,0.379960017,0.242084311,-0.562880185,0.049410254,Basildon,8,,
246,-1.560171804,2.206424036,0.239718484,-1.272973497,Bexley,8,,
247,-1.56524373,0.08617763,-0.504142227,-0.182191302,Birmingham,8,,
248,-1.402429718,0.167281396,-0.144672719,-0.488226526,Blackburn with Darwen,8,,
249,-2.495018821,0.903533612,0.979245587,0.16906729,Bolton,8,,
250,-0.919252293,1.794056582,-1.693615605,-0.065094081,Bradford,8,,
251,0.033489126,1.428590141,-0.574138064,-0.193372343,Burnley,8,,
252,-1.173553636,-0.70205875,0.054848772,-0.362535491,Bury,8,,
253,-1.336343096,0.678205704,0.223254137,-0.116249658,Craven,8,,
254,-1.067444621,3.452310447,-2.864853247,0.182793228,Denbighshire,8,,
255,-1.730972787,-1.609525516,-0.256574807,0.466719773,Gedling,8,,
256,2.455206281,-1.209383685,1.829124921,0.440943702,Gosport,8,,
257,-0.175955772,-0.651537695,0.034217196,-0.198244855,Haringey,8,,
258,5.159151237,1.130853365,-1.351553897,-0.378287436,Huntingdonshire,8,,
259,0.373736167,0.114862525,-0.29906016,-0.774693983,Hyndburn,8,,
260,0.257118074,-0.807260502,-0.155329363,-1.038785293,King's Lynn and West Norfolk,8,,
261,-1.131800817,-1.478850248,-0.061131945,0.112523918,Kingston upon Thames,8,,
262,-0.861322396,1.357738007,-1.332697257,0.789998714,Kirklees,8,,
263,-2.263189318,-0.333197582,0.733696179,-0.429132497,Mansfield,8,,
264,1.069437803,-1.524778156,0.031038196,-0.891991256,Mid Sussex,8,,
265,-0.486646142,-1.064928138,-0.034481243,-0.215441678,Middlesbrough,8,,
266,-0.383991817,-1.06230314,0.202059482,0.487306293,Newham,8,,
267,0.511103987,-2.19511077,0.311589788,0.315828773,Oadby and Wigston,8,,
268,-1.344248769,1.849316998,-1.410711671,-0.211370101,Pembrokeshire,8,,
269,-1.44429768,0.199549725,0.316317965,-0.718918885,Pendle,8,,
270,-1.487281262,-2.112439687,0.524712167,0.499988841,Redcar and Cleveland,8,,
271,0.5044716,0.92055936,0.279658534,-0.632524095,Richmondshire,8,,
272,0.905877343,-0.255051248,-0.767093085,-0.378076956,Salford,8,,
273,-0.112676145,0.995795325,-2.307461565,0.931796845,Sevenoaks,8,,
274,-0.499172792,-1.55538206,0.529831639,0.560407741,Staffordshire Moorlands,8,,
275,0.036067852,-1.721091522,-0.665391943,0.280345156,Stockton-on-Tees,8,,
276,-0.013114098,-1.533458463,-0.445752991,0.134376256,Swale,8,,
277,-0.559020998,-1.344263973,0.067634063,-0.37278267,Swansea,8,,
278,0.173951591,0.883437234,0.10569495,-0.057707164,Swindon,8,,
279,-1.585218196,2.217906609,-0.942280879,0.046937905,Tameside,8,,
280,0.085690368,-0.747111569,-1.449644696,0.844230428,Teignbridge,8,,
281,-2.628471523,0.664940625,0.146705627,-0.262412739,Three Rivers,8,,
282,-0.509863946,0.903766746,-0.481981203,-0.304918796,Tower Hamlets,8,,
283,-0.317442261,2.469761298,-1.691065381,-0.743059876,Wakefield,8,,
284,-1.524067711,-0.6564816,0.517819339,0.156598308,Wokingham,8,,
285,0.636150169,0.348026162,0.526834267,-1.237864555,Barking and Dagenham,9,,similar to cluster 1 in kmeans
286,1.445676308,-1.125582242,-1.280510025,0.001709321,Barnet,9,,
287,0.074769645,0.606862549,-1.214683371,-0.087838546,Brent,9,,
288,-2.034785159,0.597641849,0.625773633,-0.080171262,Brighton and Hove,9,,
289,-1.419922325,-1.079236246,-1.138760119,0.644157163,Crawley,9,,
290,-1.690303436,1.12640448,1.094109132,-1.33376896,Dudley,9,,
291,5.234953563,0.515388271,-2.278672848,0.096895448,Elmbridge,9,,
292,0.173751595,-1.052946208,-0.291430591,-0.319614392,Gwynedd,9,,
293,-0.15134754,0.61698492,0.037773799,-0.155953422,Harborough,9,,
294,0.017681054,1.917728189,-2.147691403,0.020039153,Harrogate,9,,
295,-1.115119106,-0.240300904,-0.634885519,0.479722152,High Peak,9,,
296,0.435852487,2.209607756,-1.227716399,0.013453261,Horsham,9,,
297,-0.715503801,-0.80873002,-1.109827035,0.621782206,"Kingston upon Hull, City of",9,,
298,0.331076697,-1.551409918,-0.440466958,0.092056401,Leeds,9,,
299,3.105594432,-1.322551507,0.919819885,-1.421753368,Lewes,9,,
300,4.843468206,2.47734803,-0.73036499,-1.677262692,Liverpool,9,,
301,-0.562420168,-0.610316594,-0.508448856,0.577015499,Merthyr Tydfil,9,,
302,0.722480666,0.417196347,-0.125217331,0.027296743,Newcastle-under-Lyme,9,,
303,2.487029382,-0.800069495,0.337079063,-1.055373232,Northumberland,9,,
304,-0.212495933,1.329257594,1.247540358,-0.105468917,Plymouth,9,,
305,-1.766375066,0.973009395,0.140590522,-0.315423249,Preston,9,,
306,1.733115039,-1.236311354,0.248630159,-1.262519136,Reading,9,,
307,-0.146760622,-0.55026742,1.026442388,-0.358518216,Rushcliffe,9,,
308,-1.827039031,2.446281432,0.591539875,-0.398268101,Shropshire,9,,
309,-0.9902926,-0.302442559,0.392258812,-0.021494475,South Tyneside,9,,
310,-1.472405104,0.887996185,0.820336912,-1.001929873,Walsall,9,,
311,0.570798677,-0.042480181,0.45570574,2.112668264,Warwick,9,,
